incidentType,incidentSubType,reportDescription,name,phoneNumber,dateAndTime,landmark,address
Accident,Vehicular accident,"Urgent! Car Vs. Motorcycle crash at Main St. Corner Oak Ave. Injuries reported, need immediate medical assistance.",Lorna Reyes,9182345678,2024/01/15 8:30:15,SM City Batangas,"Pastor Village, Brgy. Pallocan West, Batangas City, Batangas"
Accident,Vehicular accident,Naku! May Nagbanggaan pong dalawang sasakyan dito sa intersection ng Rizal at Bonifacio St. Mukhang malakas ang tama.,Ricardo Santos,9278765432,2024/01/20 14:15:05,Batangas City Hall,"P. Burgos Street, Brgy. 15, Poblacion, Batangas City, Batangas"
Accident,Vehicular accident,"Grabe! Nagkabanggaan Yung jeepney at bus dito sa may flyover. Traffic na po, mukhang may injured.",Maria Cruz,9051122334,2024/01/25 10:05:22,Plaza Mabini,"Rizal Avenue, Brgy. 12, Poblacion, Batangas City, Batangas"
Accident,Household accident,"Need assistance, someone took a bad fall down the stairs. They seem hurt and can't get up.",Jose Dela Cruz,9987654321,2024/02/01 16:45:30,Batangas Provincial Capitol Building,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Accident,Household accident,"Tulungan nyo po kami! Nahulog Yung kasama namin sa banyo, hindi makatayo! Masakit Daw ang likod.",Elena Garcia,9173344556,2024/02/05 9:20:45,Basilica de la Immaculada Concepcion,"M.H. Del Pilar Street, Brgy. 5, Poblacion, Batangas City, Batangas"
Accident,Household accident,Help po! May Nasusunog sa kitchen namin! Maliit Pa lang yung fire pero need na ng tulong! Baka Lumaki.,Ramon Mendoza,9204455667,2024/02/10 11:00:10,Batangas State University Main Campus I,"Rizal Avenue Extension, Brgy. Poblacion, Batangas City, Batangas"
Accident,Workplace accident,Reporting an injury at the warehouse - a worker's hand got caught in the conveyor belt. Needs medical attention ASAP.,Teresita Gomez,9395566778,2024/02/15 13:35:50,Batangas State University Alangilan Campus,"Golden Country Homes, Brgy. Alangilan, Batangas City, Batangas"
Accident,Workplace accident,"May naaksidente po sa construction site sa kanto, mukhang nahulugan ng debris yung worker. Dumudugo po.",Antonio Navarro,9476677889,2024/02/20 17:10:00,University of Batangas,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Accident,Workplace accident,Emergency! May Naaksidente pong worker dito sa factory while using the cutting machine. Medyo malala yung tama niya.,Isabel Torres,9167788990,2024/02/25 7:55:18,Lyceum of the Philippines University - Batangas,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Conflict,Family or neighbor disputes,"Requesting assistance for a disturbance. Loud shouting and banging from Apt 3B, sounds like things are breaking.",Felipe Ocampo,9288899001,2024/03/01 19:00:25,Batangas City Grand Terminal,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Conflict,Family or neighbor disputes,"Pakirespondehan po, grabe yung away ng magkapitbahay dito sa Blk 5 Lot 10. Rinig na rinig ang sigawan, baka magkasakitan.",Cristina Ramos,9069900112,2024/03/05 6:40:33,Batangas International Port,"Santa Clara Road, Brgy. Santa Clara, Batangas City, Batangas"
Conflict,Family or neighbor disputes,"Nakakaistorbo na po yung away ng neighbors ko sa unit sa taas. Sobrang lakas ng sigawan at kalabog, baka ano pang mangyari.",Arturo Jimenez,9190011223,2024/03/10 21:30:40,Batangas City Sports Coliseum,"Bonifacio Street, Brgy. Cuta, Batangas City, Batangas"
Conflict,Road rage,"Road rage incident on EDSA northbound near Ortigas exit. Two drivers out of their cars, yelling aggressively, blocking traffic.",Norma Aquino,9211122334,2024/03/15 15:15:55,Laurel Park,"P. Zamora Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Road rage,"May dalawang driver po na nag-aaway sa gitna ng kalsada sa C5, nagmumurahan at halos magsuntukan na dahil sa gitgitan.",Benigno Salazar,9322233445,2024/03/20 12:05:12,Nuciti Central Mall,"P. Burgos Street, Brgy. 17, Poblacion, Batangas City, Batangas"
Conflict,Road rage,"Paki-check po dito sa service road, may dalawang driver na nagtatalo after mag-almost crash. Nakaharang sila sa daan.",Anita Mercado,9433344556,2024/03/25 18:20:19,Xentro Mall Batangas,"Diversion Road, Brgy. Bolbok, Batangas City, Batangas"
